name,family,n,m,regime,truth,aegypti_found,aegypti_valid,aegypti_correct,aegypti_ms,aegypti_miss,chiba_found,chiba_valid,chiba_correct,chiba_ms,matmul_found,matmul_correct,matmul_ms,all_agree,dense_branch_runs
er_sparse_00000,er_sparse,31,22,sparse,False,False,True,True,0.3589999978430569,False,False,True,True,0.036299999919719994,False,True,0.1948000062839128,True,False
er_sparse_00001,er_sparse,52,101,sparse,True,True,True,True,0.24059999850578606,False,True,True,True,0.04359999729786068,True,True,0.16879999748198316,True,False
er_sparse_00002,er_sparse,27,32,sparse,True,True,True,True,0.11690000246744603,False,True,True,True,0.02630000381032005,True,True,0.12379999679978937,True,False
er_sparse_00003,er_sparse,36,38,sparse,False,False,True,True,0.1444000008632429,False,False,True,True,0.04030000127386302,False,True,0.12150000111432746,True,False
er_sparse_00004,er_sparse,53,106,sparse,True,True,True,True,0.23720000172033906,False,True,True,True,0.04099999932805076,True,True,0.1697000043350272,True,False
er_sparse_00005,er_sparse,43,50,sparse,True,True,True,True,0.17729999672155827,False,True,True,True,0.03760000254260376,True,True,0.12179999612271786,True,False
er_sparse_00006,er_sparse,44,62,sparse,True,True,True,True,0.17289999959757552,False,True,True,True,0.03960000321967527,True,True,0.13359999866224825,True,False
er_sparse_00007,er_sparse,16,5,sparse,True,True,True,True,0.05690000398317352,False,True,True,True,0.01889999839477241,True,True,0.0988000028883107,True,False
er_sparse_00008,er_sparse,36,43,sparse,True,True,True,True,0.1351000028080307,False,True,True,True,0.03139999898849055,True,True,0.11729999823728576,True,False
er_sparse_00009,er_sparse,48,66,sparse,False,False,True,True,0.5878999945707619,False,False,True,True,0.06839999696239829,False,True,0.1390999968862161,True,False
er_sparse_00010,er_sparse,40,17,sparse,False,False,True,True,0.11660000018309802,False,False,True,True,0.03740000101970509,False,True,0.10440000187372789,True,False
er_sparse_00011,er_sparse,21,6,sparse,False,False,True,True,0.06589999975403771,False,False,True,True,0.021599997126031667,False,True,0.09589999535819516,True,False
er_sparse_00012,er_sparse,14,5,sparse,False,False,True,True,0.0518000015290454,False,False,True,True,0.015900004655122757,False,True,0.09130000398727134,True,False
er_sparse_00013,er_sparse,27,23,sparse,True,True,True,True,0.11490000179037452,False,True,True,True,0.029499999072868377,True,True,0.1331999956164509,True,False
er_sparse_00014,er_sparse,33,46,sparse,True,True,True,True,0.1542999962111935,False,True,True,True,0.03170000127283856,True,True,0.12170000263722613,True,False
er_sparse_00015,er_sparse,24,6,sparse,False,False,True,True,0.0718000010238029,False,False,True,True,0.024000000848900527,False,True,0.10819999442901462,True,False
er_sparse_00016,er_sparse,45,29,sparse,False,False,True,True,0.1399000029778108,False,False,True,True,0.0425000034738332,False,True,0.1019000046653673,True,False
er_sparse_00017,er_sparse,40,62,sparse,True,True,True,True,0.16229999891947955,False,True,True,True,0.033899996196851134,True,True,0.1336999994236976,True,False
er_sparse_00018,er_sparse,60,157,sparse,True,True,True,True,0.30750000587431714,False,True,True,True,0.04889999399892986,True,True,0.20780000340892002,True,False
er_sparse_00019,er_sparse,40,39,sparse,True,True,True,True,0.14519999967887998,False,True,True,True,0.0360000049113296,True,True,0.11350000568199903,True,False
er_sparse_00020,er_sparse,14,7,sparse,False,False,True,True,0.05900000542169437,False,False,True,True,0.017799997294787318,False,True,0.09889999637380242,True,False
er_sparse_00022,er_sparse,22,23,sparse,True,True,True,True,0.12480000441428274,False,True,True,True,0.02630000381032005,True,True,0.12229999992996454,True,False
er_sparse_00023,er_sparse,55,23,sparse,False,False,True,True,0.15690000145696104,False,False,True,True,0.05070000042906031,False,True,0.10599999950500205,True,False
er_sparse_00024,er_sparse,18,12,sparse,False,False,True,True,0.07240000559249893,False,False,True,True,0.020699997548945248,False,True,0.10179999662796035,True,False
er_sparse_00025,er_sparse,39,55,sparse,True,True,True,True,0.14980000560171902,False,True,True,True,0.03479999577393755,True,True,0.12460000289138407,True,False
