scope,instances,truth_positive,aegypti_correct,aegypti_misses,chiba_correct,matmul_correct,invalid_witnesses,all_agree,dense_instances,dense_positives,dense_misses,mean_aegypti_ms,mean_chiba_ms,mean_matmul_ms
regime:dense,5639,4799,5639,0,5639,5639,0,5639,5639,4799,0,2.232559319051675,0.05903770170971692,0.21670453983521223
regime:sparse,6691,4061,6691,0,6691,6691,0,6691,0,0,0,0.16733746824886736,0.042416484874683004,0.16745526827644572
family:atlas_exhaustive_n<=7,1244,1080,1244,0,1244,1244,0,1244,91,91,0,0.09426085213621778,0.016801688145565197,0.16396350482574845
family:er_dense,2500,2500,2500,0,2500,2500,0,2500,2425,2425,0,2.946620480011916,0.05425811998284189,0.25523904006113296
family:er_sparse,2486,1139,2486,0,2486,2486,0,2486,0,0,0,0.20447011265553156,0.052298551953514946,0.1767391392150241
family:near_turan,400,400,400,0,400,400,0,400,400,400,0,2.8534824999587727,0.10020050010098203,0.18200550008259597
family:omega3_tripartite,400,400,400,0,400,400,0,400,400,400,0,1.2844112499806215,0.030435749949901947,0.16602274999058864
family:omega4_fourpartite,300,300,300,0,300,300,0,300,300,300,0,1.3943793335662729,0.0363876666839739,0.1860133332957048
family:planted_clique,1000,1000,1000,0,1000,1000,0,1000,987,987,0,2.3719423999864375,0.04259459993772907,0.2080404999651364
family:planted_triangle,1500,1500,1500,0,1500,1500,0,1500,0,0,0,0.18598493330015722,0.051736866669671144,0.1625040000047496
family:structured,1000,541,1000,0,1000,1000,0,1000,365,196,0,0.3199368000605318,0.03956730000209063,0.16249809998407727
family:tri_free_bipartite,1500,0,1500,0,1500,1500,0,1500,671,0,0,0.4484031333292175,0.071482333400733,0.16779233329968216
OVERALL,12330,8860,12330,0,12330,12330,0,12330,5639,4799,0,1.1118456610045067,0.05001802921635017,0.18997892134375183
